RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,75682867,Customer_0,460,Spain,Male,58,5,22843.53,2,0,0,93110.8,1
2,66755036,Customer_1,506,Spain,Female,66,3,78706.46,1,1,0,95100.8,1
3,66882282,Customer_2,638,Germany,Female,30,8,10763.1,3,1,1,66471.0,0
4,31081788,Customer_3,849,Germany,Male,51,5,195240.97,2,0,0,104706.1,1
5,23315092,Customer_4,827,Spain,Female,62,3,99556.95,1,1,1,36590.59,0
6,45788921,Customer_5,580,Germany,Female,39,2,110975.96,1,1,0,124624.55,1
7,36735830,Customer_6,760,France,Female,40,3,223398.65,3,0,0,26336.48,1
8,41632483,Customer_7,769,France,Female,68,2,164513.75,1,1,0,101840.19,1
9,86737383,Customer_8,506,France,Male,20,1,2014.78,2,0,1,57760.91,0
10,98358551,Customer_9,387,Spain,Male,59,4,235793.71,1,0,0,114651.82,1
11,98409749,Customer_10,790,France,Female,51,1,59286.12,1,1,1,86967.04,0
12,14981505,Customer_11,446,Germany,Female,49,5,26903.55,2,1,0,73329.43,0
13,23953367,Customer_12,834,Spain,Male,62,2,192032.04,1,0,1,33719.14,1
14,95652971,Customer_13,760,Germany,Female,68,5,125119.33,1,0,1,99155.0,1
15,14521373,Customer_14,788,France,Male,66,9,108442.64,1,0,0,146467.78,1
16,13344769,Customer_15,638,France,Female,38,8,62375.77,1,0,1,125584.48,0
17,86893497,Customer_16,603,France,Female,63,0,136867.87,2,0,1,18401.15,1
18,40349564,Customer_17,545,Spain,Male,61,5,68596.15,1,0,1,62672.11,0
19,52860080,Customer_18,435,Germany,Male,38,8,225395.75,2,1,1,139581.62,0
20,87751354,Customer_19,671,Spain,Male,61,3,53801.12,1,1,0,80426.12,1
21,72250665,Customer_20,359,Spain,Male,28,1,221088.79,1,1,0,102695.66,1
22,76209791,Customer_21,354,France,Female,56,3,139851.36,1,0,0,137763.91,1
23,56792155,Customer_22,472,Spain,Male,21,0,207122.03,1,1,1,132331.26,0
24,31498555,Customer_23,679,Spain,Female,68,2,178211.5,2,0,1,80254.85,1
25,70221198,Customer_24,702,France,Male,18,9,174173.78,2,0,0,71270.48,1
26,89757501,Customer_25,467,Spain,Male,45,8,81086.45,2,1,0,57556.97,0
27,26861870,Customer_26,643,France,Female,41,9,58474.23,3,0,1,110662.72,0
28,62286002,Customer_27,746,France,Male,52,4,52721.56,1,0,0,50178.15,1
29,42049003,Customer_28,508,France,Male,30,5,214297.91,1,0,0,44984.26,1
30,71136438,Customer_29,652,France,Male,64,2,205106.71,2,0,1,59874.99,1
31,72194931,Customer_30,577,Spain,Male,51,4,110143.38,3,0,0,34810.11,1
32,75285250,Customer_31,714,France,Female,28,7,33101.15,1,0,1,107316.77,0
33,79537252,Customer_32,565,France,Female,53,5,95563.06,2,1,0,96273.69,1
34,69248434,Customer_33,785,Spain,Male,68,3,154835.86,1,0,1,77602.99,1
35,71306900,Customer_34,533,Spain,Male,34,1,113600.79,1,0,1,64645.61,0
36,65831368,Customer_35,364,Germany,Male,52,8,195047.32,2,0,1,137268.76,1
37,20959014,Customer_36,506,Spain,Female,35,0,249405.71,2,0,1,14077.33,0
38,66972561,Customer_37,485,Spain,Female,57,0,47783.02,1,1,1,117675.08,0
39,58900483,Customer_38,610,Germany,Female,39,3,114912.7,1,1,0,136267.34,1
40,30193880,Customer_39,506,Spain,Female,41,6,107745.98,2,0,0,72489.64,1
41,13385357,Customer_40,396,Spain,Male,36,0,76123.13,1,0,0,87096.67,0
42,54738553,Customer_41,673,Spain,Male,54,8,49523.88,1,0,1,142224.92,0
43,78574553,Customer_42,681,Spain,Male,56,3,16423.03,2,1,0,39718.85,1
44,26845364,Customer_43,522,Germany,Female,38,2,221779.83,1,1,1,82818.88,0
45,62157313,Customer_44,479,Spain,Male,25,0,104962.17,1,1,1,76460.96,0
46,21392366,Customer_45,760,Spain,Female,45,9,124223.88,3,1,0,46174.97,1
47,79778859,Customer_46,444,Germany,Female,22,3,229235.51,2,0,1,124603.05,0
48,98883975,Customer_47,464,France,Male,34,8,194072.62,3,1,0,135944.08,1
49,23479854,Customer_48,592,Germany,Male,54,9,32625.32,3,1,1,119470.56,0
50,83506850,Customer_49,769,France,Male,53,5,141354.99,3,0,1,37350.25,1
51,23187277,Customer_50,641,Germany,Female,36,5,110563.07,1,0,0,22144.81,1
52,78979792,Customer_51,631,Germany,Female,44,0,199302.77,1,1,1,94762.23,0
53,47709731,Customer_52,648,Spain,Male,51,9,181058.14,3,1,0,17993.27,1
54,36939239,Customer_53,632,France,Male,28,1,172601.43,3,1,1,104195.62,0
55,33027075,Customer_54,418,Spain,Female,62,5,85136.21,3,1,0,84259.39,1
56,91200125,Customer_55,497,France,Male,64,1,201240.93,1,0,1,102790.0,1
57,96191493,Customer_56,360,Germany,Female,29,2,13097.82,3,0,0,92623.91,0
58,97796277,Customer_57,603,Germany,Female,38,3,39906.23,3,1,0,69178.36,0
59,76401385,Customer_58,679,France,Male,28,4,83905.82,2,1,1,38122.81,0
60,32335235,Customer_59,709,Spain,Male,56,8,19201.86,2,1,0,52798.3,1
61,10271836,Customer_60,387,Spain,Male,45,3,58748.57,1,1,1,83430.08,0
62,13584702,Customer_61,483,Spain,Male,22,8,207537.75,2,1,1,101261.53,0
63,62631083,Customer_62,549,Spain,Female,34,9,237062.88,2,0,0,119127.62,1
64,18585377,Customer_63,372,Germany,Female,37,2,76150.59,2,0,0,117403.9,0
65,96544585,Customer_64,652,Germany,Female,58,7,66128.95,1,0,0,146176.42,1
66,95157821,Customer_65,695,Germany,Male,63,0,69973.16,2,1,0,50017.8,1
67,97655395,Customer_66,651,Germany,Female,29,8,69429.77,1,1,0,19955.5,0
68,27824013,Customer_67,712,Germany,Male,23,8,8982.55,3,0,1,58391.97,0
69,46601694,Customer_68,745,Spain,Male,34,9,231729.09,2,0,0,114061.23,1
70,77105583,Customer_69,567,Spain,Male,68,1,53424.54,1,1,1,71335.63,0
71,70304654,Customer_70,490,Spain,Male,36,3,105001.02,2,0,0,124490.38,1
72,44119117,Customer_71,453,Spain,Male,43,7,2421.72,3,1,0,86905.69,0
73,46433622,Customer_72,795,Germany,Male,65,6,214488.77,1,1,0,140170.84,1
74,99482491,Customer_73,559,Germany,Female,61,0,182789.34,1,0,1,142700.88,1
75,70031992,Customer_74,822,Germany,Male,61,4,236689.01,1,0,0,19702.63,1
76,65105831,Customer_75,830,France,Female,69,6,195403.87,3,0,1,73897.88,1
77,13366612,Customer_76,460,Spain,Female,49,3,78426.63,3,1,1,95356.47,0
78,68743503,Customer_77,453,Spain,Male,23,0,61968.34,3,1,1,45822.16,0
79,46258670,Customer_78,665,Germany,Male,53,8,174429.08,1,0,0,66990.75,1
80,79739572,Customer_79,520,Spain,Male,55,4,91028.19,3,1,1,104875.42,0
81,65848857,Customer_80,809,Spain,Female,28,1,141553.75,2,1,0,41742.79,1
82,67055419,Customer_81,841,Germany,Male,50,7,1564.37,3,1,1,94277.39,0
83,59160571,Customer_82,705,France,Female,41,1,15471.43,1,0,0,107642.7,0
84,78394024,Customer_83,845,France,Male,40,2,133841.99,2,1,1,22669.48,0
85,74525468,Customer_84,673,France,Male,32,9,141517.91,3,0,0,79654.1,1
86,99966606,Customer_85,482,Germany,Female,44,0,187863.24,2,0,0,46831.2,1
87,48727468,Customer_86,725,Spain,Female,28,1,32991.33,2,1,0,111414.09,0
88,61757120,Customer_87,642,Germany,Male,68,6,128295.77,1,0,1,36537.77,1
89,77157848,Customer_88,677,Germany,Female,67,9,48611.91,2,1,1,134913.31,0
90,87897542,Customer_89,476,Spain,Female,34,1,23299.03,2,0,0,70331.79,0
91,83665032,Customer_90,455,France,Female,68,5,102623.95,1,0,1,37720.42,1
92,95390464,Customer_91,846,France,Female,31,2,40834.16,1,1,1,71323.05,0
93,58170987,Customer_92,441,Germany,Female,44,3,55445.49,1,0,1,67224.13,0
94,62562567,Customer_93,636,France,Male,35,7,79388.64,2,0,1,70048.65,0
95,33717335,Customer_94,727,Germany,Male,45,2,64847.1,2,0,1,91978.58,0
96,70472382,Customer_95,742,Germany,Female,68,9,21897.82,2,1,1,82964.32,0
97,22719242,Customer_96,400,Spain,Male,64,5,22479.06,1,1,1,30968.8,0
98,58715250,Customer_97,378,Spain,Male,64,0,48312.35,3,0,0,19181.07,1
99,93139152,Customer_98,811,Spain,Female,21,6,12639.8,2,0,0,112118.16,0
100,54054178,Customer_99,645,Germany,Male,24,7,156614.25,3,0,1,88360.44,0
101,48334882,Customer_100,646,Spain,Female,62,7,71831.68,1,1,0,60260.11,1
